Website,URL,Status,CSS Framework(s),Design System(s) Used,UX4G Design System (Yes/No),UX4G Accessibility CDN (Yes/No),Confidence,Evidence,Notes
Digital Sports Ecosystem (SAI),https://sportsauthorityofindia.gov.in/,VERIFY,Bootstrap,React Bootstrap,No,No,High,"[Frameworks]: Bootstrap (CDN/File: bootstrap.min.css; Classes: [col-md-6, col-sm-12, col-lg-5, col-md-12]; Meta: Bootstrap) | [UI Libraries]: React Bootstrap (Classes: [col-md-6, col-md-12, col-md-3, col-lg-5])",VERIFY
ABC / NAD,https://www.abc.gov.in/,LIVE,Bootstrap,"UX4G Design System, React Bootstrap",Yes,Yes,High,"[UX4G DS]: CDN/File: https://cdn-abc.dl6.in/assets/css/ux4g-min.css | [UX4G Accessibility CDN]: CDN/File: https://cdn.ux4g.gov.in/tools/accessibility-widget.js | [Frameworks]: Bootstrap (Attr: data-bs-ride; Classes: [col-md-6, col-md-5, col-md-7, col-md-3]; Meta: Bootstrap) | [UI Libraries]: UX4G Design System (CDN/File: https://cdn-abc.dl6.in/assets/css/ux4g-min.css); React Bootstrap (Classes: [btn-outline-primary, col-md-6, col-md-5, col-md-7])",LIVE
DIKSHA,https://diksha.gov.in/,LIVE,Bootstrap,"UX4G Design System, Ant Design, NG-ZORRO, React Bootstrap",Yes,No,High,"[UX4G DS]: Classes: [ux4g-button, ux4g-copy, ux4g-copyright, ux4g-icon] | [Frameworks]: Bootstrap (CDN/File: bootstrap.min.css; Classes: [col-md-2, col-sm-12, col-md-12, col-sm-6]; Meta: Bootstrap) | [UI Libraries]: UX4G Design System (Classes: [ux4g-button, ux4g-copy, ux4g-copyright, ux4g-icon]); Ant Design (Classes: [ant-btn]); NG-ZORRO (Classes: [ant-btn]); React Bootstrap (Classes: [btn-primary, col-md-2, col-md-12, col-md-8])",LIVE
Poshan Tracker,https://www.poshantracker.in/,VERIFY,Bootstrap,Custom / None Detected,No,Yes,High,[UX4G Accessibility CDN]: CDN/File: https://cdn.ux4g.gov.in/tools/accessibility-widget.js | [Frameworks]: Bootstrap (CDN/File: bootstrap.bundle.min.js; Meta: Bootstrap),VERIFY
Poshan,https://ptbeta.dl6.in/,UNKNOWN,Bootstrap,Custom / None Detected,No,Yes,High,[UX4G Accessibility CDN]: CDN/File: https://cdn.ux4g.gov.in/tools/accessibility-widget.js | [Frameworks]: Bootstrap (CDN/File: bootstrap.bundle.min.js; Meta: Bootstrap),
Kisan Sarathi 2.0,https://kisansarathi.in/,LIVE,Bootstrap,React Bootstrap,No,Yes,High,"[UX4G Accessibility CDN]: CDN/File: https://cdn.ux4g.gov.in/accessibility-beta-v1.15/accessibility-widget.js | [Frameworks]: Bootstrap (CDN/File: bootstrap.min.css; Classes: [col-md-6, col-md-2, col-lg-5, col-sm-6]; Meta: Bootstrap) | [UI Libraries]: React Bootstrap (Classes: [col-md-6, col-md-2, col-md-5, col-md-4])",LIVE
MANAS,https://www.manas.gov.in/,ERROR,None Detected,None Detected,No,No,N/A,"Portal skipped or unreachable: Playwright error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.manas.gov.in/
Call log:
  - navigating to ""https://www.manas.gov.in/"", waiting until ""commit""
",VERIFY
eSaras,https://www.esaras.in/,VERIFY,Bulma,Custom / None Detected,No,Yes,High,"[UX4G Accessibility CDN]: CDN/File: https://cdn.ux4g.gov.in/accessibility-beta-v1.15/accessibility-widget.js | [Frameworks]: Bulma (Classes: [columns, column])",VERIFY
Indiahandmade,https://www.indiahandmade.com/,LIVE,"Bulma, Spectre.css",Custom / None Detected,No,Yes,High,"[UX4G Accessibility CDN]: CDN/File: https://cdn.ux4g.gov.in/accessibility-beta-v1.15/accessibility-widget.js | [Frameworks]: Bulma (Classes: [columns, column]); Spectre.css (Classes: [columns, divider])",LIVE
My Bharat,https://mybharat.gov.in/,LIVE,"Bootstrap, Spectre.css",React Bootstrap,No,No,High,"[Frameworks]: Bootstrap (CDN/File: bootstrap.min.css; Classes: [col-md-8, col-sm-5, col-sm-10, col-md-6]; Meta: Bootstrap); Spectre.css (Classes: [form-group, input-group]) | [UI Libraries]: React Bootstrap (Classes: [btn-outline-primary, col-md-8, col-md-6, col-md-1])",LIVE
LoKOS,https://lokos.dord.gov.in/,VERIFY,None Detected,Custom / None Detected,No,Yes,High,[UX4G Accessibility CDN]: CDN/File: https://cdn.ux4g.gov.in/accessibility-beta-v1.12/accessibility-widget.js,VERIFY
NHAI,https://nhai.gov.in/,LIVE,None Detected,Custom / None Detected,No,No,Low,"HTML analysed (4,528 bytes), 1 CSS files, 7 JS scripts — no standard framework signatures matched.",LIVE
GSI,https://www.gsi.gov.in/home/,VERIFY,Bootstrap,Custom / None Detected,No,No,Medium,[Frameworks]: Bootstrap (Meta: Bootstrap),VERIFY
Visvesvaraya PhD Scheme,https://phd.dic.gov.in/,VERIFY,None Detected,Mantine,No,Yes,High,[UX4G Accessibility CDN]: CDN/File: https://cdn.ux4g.gov.in/tools/accessibility-widget.js | [UI Libraries]: Mantine (Classes: [mantine-Text-root]),VERIFY
NITI Aayog,https://www.niti.gov.in/,LIVE,"Bootstrap, Foundation",React Bootstrap,No,No,High,"[Frameworks]: Bootstrap (CDN/File: bootstrap.min.css; Classes: [col-md-12, col-xl-6, container-fluid, container]; Meta: Bootstrap); Foundation (Attr: data-off-canvas) | [UI Libraries]: React Bootstrap (Classes: [col-md-12, container-fluid])",LIVE
India AI,https://indiaai.gov.in/,LIVE / CRAWLER BLOCKED,None Detected,Custom / None Detected,No,No,Low,"HTML analysed (1,669,033 bytes), 0 CSS files, 7 JS scripts — no standard framework signatures matched.",LIVE / CRAWLER BLOCKED
DPDP Digital Office,https://www.meity.gov.in/data-protection-framework,LIVE / CRAWLER BLOCKED,Bootstrap,Custom / None Detected,No,No,Medium,[Frameworks]: Bootstrap (Meta: Bootstrap),LIVE / CRAWLER BLOCKED
NCW,https://www.ncw.gov.in/,VERIFY,"Bootstrap, Tailwind CSS",React Bootstrap,No,Yes,High,"[UX4G Accessibility CDN]: CDN/File: https://cdn.ux4g.gov.in/accessibility-beta-v1.15/accessibility-widget.js | [Frameworks]: Bootstrap (CDN/File: bootstrap.min.css; Classes: [col-lg-1, col-md-6, col-lg-5, col-md-1]; Meta: Bootstrap); Tailwind CSS (Classes: [flex-wrap, shadow-sm]) | [UI Libraries]: React Bootstrap (Classes: [col-md-6, col-md-1, col-md-3, col-md-12])",VERIFY
Vandemataram,https://www.vandemataram150.in/,LIVE,Tailwind CSS,Custom / None Detected,No,No,Medium,"[Frameworks]: Tailwind CSS (Classes: [flex-col, flex-1, sm:flex-col, sm:flex-row])",LIVE
